draw_no,draw_date,ball1,ball2,ball3,ball4,ball5,star1,star2,jackpot_eur,category1_winners,draw_id,dow,year,month
1,2004-02-13,16,29,32,36,41,7,9,10143000,1,1,4,2004,2
2,2004-02-20,7,13,39,47,50,2,5,10111500,0,2,4,2004,2
3,2004-02-27,14,18,19,31,37,4,5,11880304,0,3,4,2004,2
4,2004-03-05,4,7,33,37,39,1,5,13870849,1,4,4,2004,3
5,2004-03-12,15,24,28,44,47,4,5,10171500,0,5,4,2004,3
6,2004-03-19,33,36,37,42,45,4,9,11696661,0,6,4,2004,3
7,2004-03-26,3,4,10,23,43,2,4,13451480,0,7,4,2004,3
8,2004-04-02,4,12,24,27,36,2,9,15183435,0,8,4,2004,4
9,2004-04-09,1,4,10,19,23,2,8,16752145,1,9,4,2004,4
10,2004-04-16,14,15,28,35,40,1,3,10027500,0,10,4,2004,4
11,2004-04-23,6,10,21,45,49,3,5,13390000,0,11,4,2004,4
12,2004-04-30,5,6,16,23,27,6,7,16887500,0,12,4,2004,4
13,2004-05-07,15,16,21,36,38,1,5,19983000,0,13,4,2004,5
14,2004-05-14,1,3,21,32,39,2,6,22849563,1,14,4,2004,5
15,2004-05-21,15,29,37,39,49,4,9,6712000,1,15,4,2004,5
16,2004-05-28,6,11,35,41,44,5,6,6712000,0,16,4,2004,5
17,2004-06-04,9,13,34,41,42,3,7,8735476,1,17,4,2004,6
18,2004-06-11,2,7,8,10,47,1,7,6580000,0,18,4,2004,6
19,2004-06-18,2,23,28,40,43,2,6,8140055,1,19,4,2004,6
20,2004-06-25,3,21,30,34,35,1,2,6685000,0,20,4,2004,6
21,2004-07-02,4,23,24,28,34,1,3,8214347,0,21,4,2004,7
22,2004-07-09,2,5,12,19,44,8,9,9720341,0,22,4,2004,7
23,2004-07-16,24,26,31,38,50,5,8,11275186,0,23,4,2004,7
24,2004-07-23,7,10,27,31,34,3,8,12787495,0,24,4,2004,7
25,2004-07-30,9,10,19,37,50,1,6,14603161,0,25,4,2004,7
26,2004-08-06,5,15,24,35,44,5,6,16568021,1,26,4,2004,8
27,2004-08-13,20,27,41,43,50,5,8,6740000,0,27,4,2004,8
28,2004-08-20,6,9,10,27,35,6,8,8372421,0,28,4,2004,8
29,2004-08-27,1,11,22,28,44,1,9,9880576,0,29,4,2004,8
30,2004-09-03,8,12,14,15,34,6,7,11745718,0,30,4,2004,9
31,2004-09-10,5,25,33,36,38,2,5,13705824,0,31,4,2004,9
32,2004-09-17,15,18,29,39,41,5,8,15652287,0,32,4,2004,9
33,2004-09-24,21,26,27,44,48,1,7,17853153,0,33,4,2004,9
34,2004-10-01,12,20,21,45,48,5,6,20656084,1,34,4,2004,10
35,2004-10-08,1,10,12,16,48,2,6,6950000,0,35,4,2004,10
36,2004-10-15,14,21,22,37,43,5,8,11885938,0,36,4,2004,10
37,2004-10-22,1,9,23,25,40,3,9,17398554,1,37,4,2004,10
38,2004-10-29,1,8,32,35,38,4,9,6967000,0,38,4,2004,10
39,2004-11-05,6,19,25,42,49,1,7,12066841,0,39,4,2004,11
40,2004-11-12,4,11,12,13,32,3,9,17364782,0,40,4,2004,11
